# Barnet recycling collection data from:
# http://www.ectrecycling.co.uk/page/421
# http://www.ectrecycling.co.uk/page/422
# http://www.ectrecycling.co.uk/page/423
# collected 4-Jul-2011
# Note: must contain the following title line:
street,postcode,type,days
ST. MATTHIAS CLOSE,NW9 6RJ,R,Monday
ST. MICHAEL'S CLOSE,N12 9NB,R,Wednesday
ST. NINIANS COURT,,R,Wednesday
ST. PAULS WAY,N3 2PP,R,Thursday
ST. PETERS CLOSE,EN5 3BX,R,Tuesday
ST. PETERS COURT,,R,Monday
ST. STEPHENS ROAD,EN5 2TA,R,Tuesday
ST. WILFREDS CLOSE,EN4 9SE,R,Tuesday
ST. WILFREDS ROAD,EN4 9SA,R,Tuesday
Stanford Road,N11 3HX,R,Wednesday
Stanhope Avenue,N3 3LX,R,Friday
Stanhope Avenue,N3 3LY,R,Thursday
Stanhope Gardens,NW7 2JD,R,Thursday
Stanhope Road,EN5 2QN,R,Tuesday
Stanhope Road,N12 9DT,R,Wednesday
Stanley Road,N2 0NB,R,Friday
Stanley Road,N10 2HU,R,Wednesday
Stanway Gardens,HA8 9LL,R,Monday
Stapylton Road,EN5 4JD,R,Tuesday
Station Approach,EN5 1LW,R,Tuesday
Station Close,N3 2SE,R,Thursday
Station Close,N12 7EG,R,Wednesday
Station Road,HA8 7AA,R,Monday
Station Road,NW4 3SN,R,Monday
Station Road,N3 2RY,R,Thursday
Station Road,EN5 1NG,R,Tuesday
Sterling Avenue,HA8 8BP,R,Monday
Stewards Holte Walk,,R,Wednesday
Steynings Way,N12 7LN,R,Thursday
Stockford Drive, NW7,R,Friday
Stockton Close,,R,Tuesday
Stockton Gardens,NW7 3AB,R,Monday
Stonecroft Close, EN5,R,Tuesday
Stonegrove,HA8 7UA,R,Monday
Stoneyfield Gardens,HA8 9SP,R,Monday
Stoneyfields Lane,HA8 9SG,R,Monday
Storksmead Road,HA8 0JN,R,Monday
Strafford Road,EN5 4LR,R,Tuesday
Stratford Road,,R,Friday
Strathmore Gardens,N3 2HL,R,Thursday
Strawberry Vale,N2 9AA,R,Thursday
Stream Lane,,R,Monday
Strode Close,N10 2PP,R,Wednesday
Stuart Avenue,NW9 7AT,R,Monday
Stuart Road,EN4 8XG,R,Wednesday
Sturgess Avenue,NW4 3TR,R,Monday
Summerfields Avenue,N12 0TD,R,Thursday
Summerlee Avenue,N2 9QH,R,Thursday
Summers Lane,N12 0JY,R,Thursday
Summers Row,N12 0LD,R,Thursday
Summit Close,N14 7NR,R,Wednesday
Summit Way,N14 7NL,R,Wednesday
Sunbury Avenue,NW7 3SJ,R,Monday
Sunbury Gardens,NW7 3SH,R,Monday
Sunningfields Crescent,NW4 4RD,R,Monday
Sunningfields Road,NW4 4QR,R,Monday
Sunny Hill,NW4 4LL,R,Monday
Sunny Way,N12 0PN,R,Thursday
Sunny Gardens Parade,NW4 1JA,R,Monday
Sunny Gardens Road,NW4 1RS,R,Monday
Sunnydale Gardens,NW7 3PB,R,Monday
Sunnyfield,NW7 4RD,R,Thursday
Sunnyside,NW2 2QN,R,Friday
Sunrise View,,R,Thursday
Sunset View,EN5 4LB,R,Tuesday
Sussex Ring,N12 7HU,R,Thursday
Sutcliffe Close,NW11 6NT,R,Friday
Sutherland Close,EN5 2JL,R,Tuesday
Sutton Crescent,EN5 2SS,R,Tuesday
Sutton Road,N10 1HE,R,Wednesday
Swaledale Close,N11 3FA,R,Wednesday
Swan Drive,NW9 5DE,R,Monday
Swan Lane,N20 0PL,R,Wednesday
Sweets Way,N20 0NT,R,Wednesday
Swynford Gardens,,R,Monday
Sycamore Close,,R,Monday
Sycamore Close,EN4 8AQ,R,Tuesday
Sycamore Hill,N11 3PD,R,Wednesday
Sydney Grove,NW4 2EH,R,Monday
Sydney Road,N10 2LP,R,Wednesday
Symphony Close,HA8 0EE,MONDAY
Sylvan Avenue,N3 2LE,R,Thursday
Sylvan Avenue,NW7 2JH,R,Thursday
Sylvester Road,N2 8HN,R,Thursday
Talbot Avenue,N2 0LS,R,Friday
Talbot Crescent,NW4 4HP,R,Monday
Talgarth Walk,NW9 7HW,R,Monday
Tangle Tree Close,N3 2TR,R,Thursday
Tangmere Way,NW9 5WW,R,Monday
Tapster Street,EN5 5TU,R,Tuesday
Tarling Road,N2 8LB,R,Thursday
Taunton Drive,N2 8JD,R,Thursday
Tavistock Avenue, NW7,R,Thursday
Taylors Lane,EN5 4QH,R,Tuesday
Tayside Drive,HA8 8RD,R,Monday
Templars Avenue,NW11 0NR,R,Friday
Templars Crescent,N3 3QS,R,Thursday
Temple Avenue,N20 9EH,R,Tuesday
Temple Close,N3 3SB,R,Thursday
Temple Gardens,NW11 0LL,R,Friday
Temple Grove,NW11 7UA,R,Friday
Temple Fortune Hill,NW11 7XL,R,Friday
Temple Fortune Lane,NW11 7TR,R,Friday
Tennyson Road,NW7 4AB,R,Thursday
Tenterden Close,NW4 1TJ,R,Friday
Tenterden Drive,NW4 1EA,R,Friday
Tenterden Gardens,NW4 1TE,R,Friday
Tenterden Grove,NW4 1ST,R,Friday
Thackrah Close,N2 8LH,R,Thursday
Thatcham Gardens,N20 9QE,R,Tuesday
The Avenue,N 3,R,Thursday
The Broadway,,R,Monday
The Circle,,R,Monday
The Drive,,R,Tuesday
The Firs,,R,Tuesday
The Orchard,,R,Friday
The Approach,NW4 2HS,R,Friday
The Avenue,EN5 4EN,R,Tuesday
The Avenue,N11 1NF,R,Wednesday
The Bishops Avenue,N2 0AJ,R,Friday
The Broadway,NW7 3BU,R,Thursday
The Burroughs,NW4 3BU,R,Friday
The Causeway,N2 0PR,R,Friday
The Close,EN4 8QL,R,Tuesday
The Close,N20 8PJ,R,Wednesday
The Crescent,EN5 5QQ,R,Tuesday
The Crescent,N11 3HH,R,Wednesday
The Crest,NW4 2HN,R,Friday
The Croft,EN5 2TL,R,Tuesday
The Drive,NW11 9SP,R,Friday
The Drive,HA8 8PP,R,Monday
The Drive,N3 1AD,R,Thursday
The Drive,EN5 1DZ,R,Tuesday
The Fairway,NW7 3HH,R,Monday
The Fairway,EN5 1HH,R,Tuesday
The Greenway,NW9 5AP,R,Monday
The Grove,NW11 9SH,R,Friday
The Grove,HA8 9QA,R,Monday
The Grove,N3 1QJ,R,Thursday
The Hook,EN5 1LG,R,Tuesday
The Hyde,NW9 5BP,R,Monday
The Leys,N2 0HE,R,Friday
The Lincolns,,R,Thursday
The Linkway,EN5 2BX,R,Tuesday
The Loning,NW9 6DR,R,Monday
The Mead,N2 8LD,R,Thursday
The Meads,HA8 9HA,R,Monday
The Oaks,N12 8AR,R,Wednesday
The Park,NW11 7SR,R,Friday
The Pastures,N20 8AN,R,Wednesday
The Reddings,NW7 4JN,R,Thursday
The Ridgeway,NW11 8PG,R,Friday
The Ridgeway,NW7 1AU,R,Thursday
The Ridgeway,NW7 1QA,R,Thursday
The Ridgeway,N3 2PG,R,Thursday
The Ridgeway,N11 3LG,R,Wednesday
The Riding,NW11 8HL,R,Friday
The Rise,HA8 8NR,R,Monday
The Rise,NW7 2LL,R,Thursday
The Spinney,EN5 5QJ,R,Tuesday
The Terrace,N3 1SJ,R,Thursday
The Vale,NW11 8SN,R,Friday
The Vale,NW11 8SB,R,Friday
The Vale,N10 1AD,R,Wednesday
The Walks,N2 8DL,R,Thursday
The Woodlands,N14 5RL,R,Wednesday
Theobalds Avenue,N12 8QG,R,Wednesday
Thirleby Road,HA8 0EZ,R,Monday
Thistley Close,N12 0TQ,R,Thursday
Thomas More Way,,R,Friday
Thorndene Avenue,N11 1ET,R,Wednesday
Thornfield Avenue,NW7 1LS,R,Thursday
Thornton Road,EN5 4JE,R,Tuesday
Thornton Way,NW11 6RY,R,Friday
Thorverton Road,NW2 1RD,R,Friday
Thurlestone Avenue,N12 0LP,R,Wednesday
Thyra Grove,N12 8HB,R,Thursday
Tillingbourne Gardens,N3 3JJ,R,Friday
Tillingham Way,N12 7EN,R,Wednesday
Timberdene,,R,Thursday
Tithe Close,NW7 2QD,R,Thursday
Tithe Walk,NW7 2PY,R,Thursday
Tiverton Way, NW7,R,Friday
Todhunter Terrace, EN5,R,Tuesday
Torrington Avenue,N12 9LG,R,Wednesday
Torrington Close,N12 9TL,R,Wednesday
Torrington Grove,N12 9NA,R,Wednesday
Torrington Park,N12 9AG,R,Wednesday
Totnes Walk,N2 0AD,R,Friday
Totteridge Common,N20 8LL,R,Wednesday
Totteridge Green,N20 8PA,R,Wednesday
Totteridge Lane,N20 0EX,R,Wednesday
Totteridge Village,N20 8AE,R,Wednesday
Trenchard Close,NW9 5NQ,R,Monday
Tretawn Gardens,NW7 4NP,R,Thursday
Tretawn Park,NW7 4PS,R,Thursday
Trevor Close,EN4 8AG,R,Tuesday
Trevor Gardens,HA8 0EY,R,Monday
Trevor Road,HA8 0EU,R,Monday
Trinder Road,EN5 3DX,R,Tuesday
Trinity Avenue,N2 0LX,R,Friday
Trinity Road,N2 8JH,R,Thursday
Truman Close,,R,Monday
Tudor Road,EN5 5NL,R,Tuesday
Tudor Close,,R,Thursday
Turner Close,NW11 6TU,R,Friday
Turner Drive,NW11 6TX,R,Friday
Turners Wood,NW11 6TD,R,Friday
Twineham Green,N12 7EP,R,Wednesday
Twin Road,NW7 1HD,R,Thursday
Tyre Lane,,R,Monday
Tyrrel Way,NW9 7QW,R,Monday
Underhill,,R,Tuesday
Underne Avenue,N14 7ND,R,Wednesday
Union Street,EN5 4HY,R,Tuesday
University Close,NW7 2LD,R,Monday
Upcroft Avenue,HA8 9RA,R,Monday
Uphill Drive,NW7 4RR,R,Thursday
Uphill Grove,NW7 4NJ,R,Thursday
Uphill Road,NW7 4PP,R,Thursday
Uplands Road,EN4 8LD,R,Wednesday
Upper Cavendish Avenue,N3 3NN,R,Friday
Upway,N12 0QA,R,Thursday
Vale Close,N2 9NG,R,Thursday
Vale Drive,EN5 2ED,R,Tuesday
Vale Rise,NW11 8SD,R,Friday
Valley Avenue,N12 9PG,R,Wednesday
Valley View,EN5 2NY,R,Tuesday
Vaughan Avenue,NW4 4HT,R,Monday
Ventnor Drive,N20 8BP,R,Wednesday
Vernon Crescent,EN4 8QG,R,Tuesday
Verwood Drive,EN4 9TP,R,Tuesday
Vicarage Road,NW4 3PX,R,Monday
Victoria Avenue,N3 1BD,R,Thursday
Victoria Avenue,EN4 9PD,R,Tuesday
Victoria Close,EN4 9NY,R,Tuesday
Victoria Grove,N12 9DH,R,Wednesday
Victoria Lane, EN5,R,Tuesday
Victoria Road,NW4 2BA,R,Friday
Victoria Road,NW7 4RY,R,Thursday
Victoria Road,EN4 9PA,R,Tuesday
Victors Way,EN5 5TR,R,Tuesday
Village Road,N3 1TJ,R,Thursday
Vincent Close,EN5 5NR,R,Tuesday
Vineries Bank,NW7 2RP,R,Thursday
Vines Avenue,N3 2QD,R,Thursday
Vineyard Avenue,NW7 1HR,R,Thursday
Vineyard Grove,N3 2EQ,R,Thursday
Viscount Close,N11 3PX,R,Wednesday
Vivian Avenue,NW4 3EH,R,Monday
Vivian Way,N2 0AB,R,Friday
Vyse Close,EN5 3BA,R,Tuesday
Wagtail Close,,R,Monday
Walden Way,NW7 1SH,R,Thursday
Walfield Avenue,N20 9PS,R,Tuesday
Wallcote Avenue,NW2 1AU,R,Friday
Walmington Fold,N12 7LD,R,Thursday
Walter Walk,HA8 9ER,R,Monday
Wardell Close,NW7 2LG,R,Monday
Warner Close,NW9 7QL,R,Monday
Warnham Road,,R,Wednesday
Warrens Shawe Lane,HA8 8FX,R,Monday
Warrick Gardens,,R,Tuesday
Warwick Avenue,HA8 8UJ,R,Monday
Warwick Close,EN4 9SF,R,Tuesday
Warwick Road,EN5 5DU,R,Tuesday
Waterbrook Lane,,R,Monday
Waterfall Road,N14 7JS,R,Wednesday
WATFORD WAY (1 - 487; 2 - 402),NW4 3AD,R,Monday
WATFORD WAY (434 - 616; 479 - 613),NW7 4UA,R,Thursday
Watling Avenue,HA8 0EJ,R,Monday
Waverley Grove,N3 3PT,R,Thursday
Wayside,NW11 8QY,R,Friday
Weirdale Avenue,N20 0AG,R,Wednesday
Welbeck Close,N12 9TU,R,Wednesday
Welbeck Road,EN4 8RY,R,Wednesday
Well Approach,EN5 3DY,R,Tuesday
Well Grove,N20 9EQ,R,Tuesday
Well Road,EN5 3DZ,R,Tuesday
Wellgarth Road,NW11 7HF,R,Friday
Wellhouse Lane,EN5 3DL,R,Tuesday
Wellington Place,N2 0TW,R,Friday
Wellside Close,EN5 3DW,R,Tuesday
Wenlock Gardens,NW4 4XJ,R,Monday
Wenlock Road,HA8 9JF,R,Monday
Wentworth Avenue,N3 1YN,R,Thursday
Wentworth Close,N3 1YP,R,Thursday
Wentworth Hall,,R,Thursday
Wentworth Park,N3 1YH,R,Thursday
Wentworth Road,NW11 0RH,R,Friday
Wentworth Road,EN5 4NT,R,Tuesday
Wessex Gardens,NW11 9RT,R,Friday
Wessex Way,NW11 9RP,R,Friday
West Avenue,NW4 2LJ,R,Friday
West Avenue,N3 1AX,R,Thursday
West Close,EN5 3BY,R,Tuesday
West Side,,R,Monday
West Walk,EN4 8NT,R,Wednesday
West Way,HA8 9LA,R,Monday
West End Lane,EN5 2SB,R,Tuesday
West Heath Avenue,NW11 7QJ,R,Friday
West Heath Close,NW3 7NJ,R,Friday
West Heath Drive,NW11 7QG,R,Friday
West Heath Gardens,NW3 7TR,R,Friday
West Heath Road,NW3 7TG,R,Friday
West Hendon Broadway,NW9 6AE,R,Monday
West Hill Way,N20 8QP,R,Wednesday
Westbrook Close,EN4 9AU,R,Tuesday
Westbrook Crescent,EN4 9AP,R,Tuesday
Westbrook Square,EN4 9AX,R,Tuesday
Westbury Grove,N12 7PE,R,Thursday
Westbury Road, N12,R,Thursday
Westchester Drive,NW4 1RB,R,Friday
Westcombe Drive,EN5 2BE,R,Tuesday
Westcroft Close,NW2 2RT,R,Friday
Westcroft Way,NW2 2RH,R,Friday
Western Avenue,NW11 9EY,R,Friday
Western Court,,R,Thursday
Western Parade,,R,Tuesday
Western Way,EN5 2BT,R,Tuesday
Westfield Road,NW7 3BJ,R,Monday
Westholm,NW11 6LH,R,Friday
Westhorpe Gardens,NW4 1TU,R,Friday
Westlinton Close,NW7 1PY,R,Thursday
Westmere Drive,NW7 3HE,R,Monday
Westover Hill,NW3 7UH,R,Friday
Westside,NW4 4XD,R,Monday
Wetherill Road,N10 2LS,R,Wednesday
Weymouth Avenue,NW7 3JD,R,Thursday
Wharfdale Close,N11 3FZ,R,Wednesday
Wheatley Close,NW4 4LF,R,Monday
Whetsone High Street,,R,Wednesday
Whetstone Close,N20 9EU,R,Wednesday
White Acre,NW9 5FT,R,Monday
White Lodge Close,,R,Friday
White Lodge Close,N2 0BL,R,Friday
White Orchards,N20 8AQ,R,Wednesday
Whitefield Avenue,NW2 1TH,R,Friday
Whitehouse Way,N14 7LT,R,Wednesday
Whitings Road,EN5 2QX,R,Tuesday
Wickliffe Avenue,N3 3EJ,R,Thursday
Widecombe Way,N2 0HJ,R,Friday
Wilberforce Road,NW9 6AT,R,Monday
Wild Hatch,NW11 7LD,R,Friday
Wildwood Rise,NW11 6SX,R,Friday
Wildwood Road,NW11 6TB,R,Friday
Willenhall Avenue,EN5 1JN,R,Tuesday
Willifield Way,NW11 6XY,R,Friday
Willow Court,HA8 8AG,R,Monday
Willow Drive,EN5 2LQ,R,Tuesday
Willow End,N20 8EP,R,Wednesday
Willow Way,N3 2PL,R,Thursday
Wills Grove,NW7 1QE,R,Thursday
Wilmot Close,N2 8HP,R,Thursday
Wilton Road,EN4 9DX,R,Tuesday
Wilton Road,N10 1LS,R,Wednesday
Wiltshire Close,NW7 4RW,R,Thursday
Windermere Avenue,N3 3QB,R,Friday
Windermere Avenue,N3 3RB,R,Thursday
Windmill Lane,EN5 3HU,R,Tuesday
Windsor Avenue,HA8 8SR,R,Monday
Windsor Close,,R,Thursday
Windsor Drive,EN4 8UE,R,Tuesday
Windsor Road,N3 3SZ,R,Thursday
Windsor Road,EN5 2PR,R,Tuesday
Winnington Close,N2 0UA,R,Friday
Winnington Road,N 2,R,Friday
Winterburn Close,N11 3DJ,R,Wednesday
Winterstoke Gardens,NW7 2RA,R,Thursday
Wise Lane,NW7 2BD,R,Thursday
Wise Lane,NW7 2RE,R,Thursday
Wisteria Close,NW7 2HZ,R,Thursday
Wolmer Close,HA8 8PU,R,Monday
Wolmer Gardens,HA8 8PX,R,Monday
Wolsey Grove,HA8 0PE,R,Monday
Wolstonbury,N12 7BA,R,Thursday
Wood Street,EN5 4BT,R,Tuesday
Woodberry Close, NW7,R,Friday
Woodberry Gardens,N12 0HD,R,Thursday
Woodberry Grove,N12 0DL,R,Thursday
Woodberry Way,N12 0HE,R,Thursday
Woodburn Close,,R,Friday
Woodcote Avenue,NW7 2PB,R,Thursday
Woodcroft Avenue,NW7 2AG,R,Monday
Woodfall Avenue,EN5 2EZ,R,Tuesday
Woodfield Avenue,NW9 6PJ,R,Monday
Woodfield Drive,EN4 8PA,R,Wednesday
Woodgrange Avenue,N12 0PS,R,Thursday
Woodhouse Road,N12 0LG,R,Wednesday
Woodland Way,NW7 2JP,R,Thursday
Woodlands,NW11 9QJ,R,Friday
Woodlands Avenue,N3 2NR,R,Thursday
Woodlands Close,NW11 9QR,R,Friday
Woodleigh Avenue,N12 0LL,R,Wednesday
Woodside,NW11 6HH,R,Friday
Woodside,NW11 6HH,R,Friday
Woodside Avenue,N12 8AN,R,Wednesday
Woodside Grove,N12 8QT,R,Wednesday
Woodside Lane,N12 8QH,R,Wednesday
Woodside Grange Road,N12 8LR,R,Wednesday
Woodside Park Road,N12 8RP,R,Wednesday
Woodstock Avenue,NW11 9RG,R,Friday
Woodstock Road,NW11 8ER,R,Friday
Woodtree Close,NW4 1HQ,R,Thursday
Woodvale Way,NW11 8SF,R,Friday
Woodville Gardens,NW11 9ED,R,Friday
Woodville Road,NW11 9TN,R,Friday
Woodville Road,EN5 5HA,R,Tuesday
Woodward Avenue,NW4 4NU,R,Monday
Woolmead Avenue,NW9 7AW,R,Monday
Worcester Crescent,NW7 4LL,R,Monday
Wordsworth Walk,NW11 6AT,R,Friday
Wrotham Road,EN5 4LE,R,Tuesday
Wroughton Terrace,NW4 4LE,R,Friday
Wyburn Avenue,EN5 5TG,R,Tuesday
Wycherley Crescent,EN5 1AP,R,Tuesday
Wycombe Gardens,NW11 8AL,R,Friday
Wykeham Rise,N20 8AJ,R,Wednesday
Wykeham Road,NW4 2SS,R,Monday
Wyldes Close,NW11 7JB,R,Friday
Wylo Drive,EN5 3JL,R,Tuesday
Wyre Grove,HA8 8UP,R,Monday
Yew Grove,NW2 3AB,R,Friday
York Road,EN5 1LJ,R,Tuesday
York Way,N20 0DF,R,Wednesday
